run_id,elpd_loo,se_loo,p_loo,loo_pareto_k_warning,r2,beta_control[intercept],beta_control[trend],beta_control[public_holidays],beta_control[school_holidays],beta_season[sin[1]],beta_season[cos[1]],beta_season[sin[2]],beta_season[cos[2]],beta_media[sea],beta_media[social],beta_media[crm],beta_media[display],beta_media[video_&_audio],beta_media[tv],beta_media[radio],beta_media[offline],adstock_alpha_agrp1[social],adstock_alpha_agrp1[crm],adstock_alpha_agrp1[tv],saturation_lam_sgrp0[sea],saturation_lam_sgrp0[social],saturation_lam_sgrp0[crm],saturation_lam_sgrp0[display],saturation_lam_sgrp0[tv],saturation_lam_sgrp0[radio],saturation_lam_sgrp0[offline],saturation_k[video_&_audio],saturation_n[video_&_audio],sigma,score_media_contribution[sea],score_media_contribution[social],score_media_contribution[crm],score_media_contribution[display],score_media_contribution[video_&_audio],score_media_contribution[tv],score_media_contribution[radio],score_media_contribution[offline]
20260730_092819_2d56252f,137.66498094761738,7.438455641848638,12.96749395103602,False,0.79,0.3629605074553876,-0.0241295853006569,0.0782142567612819,0.0600053129727346,0.128413444583151,-0.0774427694902011,-0.0526308337196552,-0.0989804771758608,0.2386317606529982,0.1658271937262714,0.2193678229270735,0.1669425605308219,0.1220660730487547,0.1792253122624753,0.167600988964287,0.1651147763333912,0.2501304718449568,0.24981634911359,0.8392248709335429,0.9178999818888124,0.4989592714816295,0.8830409424084888,0.5440757552326202,0.4275004191714024,0.545535769876893,0.461971362077579,0.5752733517110479,1.917165018256524,0.0720410146490084,,,,,,,,
20260730_095042_f69de62d,137.71590251881912,7.466710106219555,12.95265486597423,True,0.79,0.3626160641925074,-0.0241111734846037,0.0783454220575942,0.0597002214702631,0.1280267276856615,-0.0773408434544378,-0.0525741730882044,-0.0988451644510938,0.2368644763378361,0.165090618304335,0.2192399167677838,0.1679729177191402,0.1217022927804464,0.1778543260102845,0.1660679531911794,0.1649576380640671,0.2498394522424768,0.249787493467546,0.8391088540082731,0.9477520612362345,0.5081180042151606,0.8880830658191046,0.5343475463545568,0.4375987240240496,0.5508580989304825,0.4625419600216321,0.5701333218941621,1.92179333988596,0.0719338407263906,,,,,,,,
20260730_100837_0c0b57d0,137.77364203301212,7.428592412890191,12.876176346438744,False,0.79,0.3618773337587326,-0.0239898493617178,0.0778835737539995,0.0602556117850535,0.1279145421029922,-0.0772045935088104,-0.0522698820251152,-0.098874678338368,0.2414724242017025,0.1654538571224272,0.2199195426590746,0.170370972110767,0.1228192170210573,0.180002309867102,0.1656963497452143,0.1635614420230517,0.2501702357401527,0.249814703838817,0.8392927824178213,0.9320325000233436,0.5091098738122575,0.8903855163653721,0.5295569912422802,0.4315893098496974,0.5559388360827654,0.4791141319477288,0.5724192751414062,1.9066515405011883,0.071947767285075,6.830843843871235,1.6681157925925802,2.979972369687103,1.6731576639543269,2.6956148357501166,1.8694184572245969,1.792467184587659,0.557632564727431
20260730_115432_bb8a59f0,137.4524260005748,7.433320051316656,13.182500481386406,False,0.79,0.3624014448802328,-0.0236779297491529,0.0780942019586945,0.059714094488818,0.12814824491894,-0.0770613306120703,-0.0522955295748754,-0.0990333385722367,0.2417112925945951,0.167650039989774,0.2183195118707192,0.1679228324433501,0.1215935798583068,0.1765739079415635,0.1655279030915376,0.1643520774620304,0.2501056067418698,0.2497614975608827,0.8391776631704778,0.935682553690308,0.5084476305688889,0.8835396350169157,0.5320568318431237,0.4371805167227635,0.5429130051155946,0.4634392552034735,0.5725607713843643,1.9098023933127843,0.0720740279972422,6.826618209198172,1.6585785028286542,2.953459940615716,1.661739718412,2.6927076747636605,1.8845325063423164,1.7553361537038787,0.5550824535101158
20260730_120341_374446e6,137.92346138571432,7.406184680987819,12.801739692235092,False,0.79,0.3622388400432127,-0.0241299378459294,0.0782462028478111,0.0596927072447976,0.1278671864885834,-0.0769001251027203,-0.0523994847893745,-0.0986959399310706,0.2427500778122742,0.1658772085697043,0.2185512300200459,0.1692776025278305,0.1218170230337461,0.1810969787249423,0.1671046055329648,0.1647513833176549,0.2501123480352935,0.2498383056815697,0.8389734448031251,0.9286499518147522,0.5070739918747358,0.8971955541050644,0.5278871359185282,0.4304649841960287,0.5538302455202149,0.4668493833132074,0.5709963641328215,1.9071739630778644,0.0719390969469774,6.857558406754465,1.6615642686450258,2.9847520145452675,1.6694856090447965,2.7033813692199926,1.8704440931461987,1.7757498162898415,0.5486338678151763
20260730_121836_ae4a9d15,137.77175465442332,7.450009410748926,12.910850964530407,False,0.79,0.3620759556853815,-0.0239148998838121,0.077589730010296,0.0604885104396645,0.128166321863009,-0.0772107988430221,-0.0521884100601841,-0.098916220326912,0.2389710869662635,0.1634769036162305,0.2227597950946918,0.1683350344517157,0.1213531513435779,0.1762867782060397,0.1660480373011907,0.1651439293685041,0.2500628468110517,0.2496730210777784,0.8394522745198039,0.9402332922614496,0.5121252825104634,0.874799365967826,0.5326124285976189,0.4377454799910302,0.558231033260872,0.4697926106785782,0.5706172525593128,1.9183982935728816,0.0719500817396497,6.854182881741444,1.6537801471953404,2.952952883011371,1.69089751600906,2.6757388621377034,1.8764364730609413,1.773271025859918,0.5530628775417272
20260730_122954_52576db4,137.66173147007666,7.465787354315188,13.010079914774291,True,0.79,0.3630364565853944,-0.0244731696133953,0.0778439657762298,0.0599338117177537,0.128253580253928,-0.07732420029029,-0.0522393456859826,-0.0988749986740528,0.2397647471079331,0.1697272115838525,0.2206981014052424,0.168409023267841,0.1218002212814971,0.1785423152965318,0.1663644893272086,0.1619103340894314,0.2500664189229086,0.2498550061104527,0.8392372241954049,0.929122302055062,0.4947798055240457,0.8860471074438828,0.5413881724901953,0.4271432657410846,0.5509701903929165,0.47756983897646,0.5714443793095443,1.9343317412295216,0.0719216331658302,6.735754897087824,1.6181578862670691,2.9727328350010325,1.6904759654152195,2.663471165003561,1.851071715621348,1.8000526840307451,0.5558253720173265
20260730_141958_ab63bcb2,137.52932525633375,7.441002606057432,13.073489976309666,True,0.79,0.363393265787535,-0.0235435576303849,0.0766874090397149,0.0603177765665988,0.1286812325326264,-0.0778451217775794,-0.0525896331026331,-0.0991064856274609,0.2390405961065334,0.1660801831832831,0.219995993592177,0.1676399895890787,0.1228919898704363,0.1760978379566873,0.1664898091475037,0.1675276124057957,0.2501376972135166,0.2496469176134858,0.8392620463060761,0.9233805622196548,0.5020549023266109,0.876813534543209,0.5371628074806724,0.4355800933012155,0.547843171894494,0.461903972691507,0.5726644742050684,1.9135418054881568,0.0720915856887993,6.690637050851521,1.62590201870914,2.920288728842509,1.6692553729791997,2.7093646598453445,1.8314345372460896,1.7614752283904742,0.5497442179281884
20260730_153819_073ec380,137.5691306440593,7.428810281970263,13.116613879619758,False,0.79,0.3624313476415531,-0.0239555383453629,0.0778180590342842,0.0598931364098773,0.1279857457986781,-0.0768722307508078,-0.0524804481742815,-0.0987067730986531,0.2407942765263986,0.165559061048229,0.2190187881321459,0.1700282767579501,0.1210925541420987,0.1776288341447736,0.166572299094703,0.1639765453776435,0.2501909223533584,0.2498655025559272,0.8390258071772672,0.9348461560587776,0.5143973665615827,0.8875227041327816,0.5343153495638531,0.4329579619251426,0.553333170000378,0.4755565220637255,0.566276435340796,1.9279509655160652,0.072075923327475,6.835690368356289,1.647684161072806,2.954304610338999,1.6694491924057508,2.684340947445348,1.8577926566084884,1.7706504301934607,0.5642233934351756
20260730_154523_b0ead272,137.56522722447036,7.478784923698051,13.068571688835902,True,0.79,0.36307686916119003,-0.023967981890525188,0.07743180385598744,0.059799399526710754,0.12860912945732314,-0.07746181974131228,-0.05238882581769531,-0.0989684940939569,0.2376762355085572,0.1667766581645232,0.22161257158402453,0.16691341183732716,0.1213410154409603,0.17830544107485077,0.1668778163676313,0.1635516362298697,0.2500043722617452,0.24982029354021293,0.8392049367795611,0.9264324641249927,0.5137485090594034,0.8842395612601384,0.530504664216691,0.4337417838351397,0.5505094292686482,0.47365660044935337,0.5699670455754106,1.9459795537188174,0.07201878716065793,6.692156100895827,1.681649973505203,2.9659513584602615,1.6464647656661882,2.6797108842566435,1.8651020378217806,1.765649703466735,0.5608045291705656
